date,channel,variant,impressions,clicks,conversions,spend,revenue,ctr,conversion_rate,cac,roas
2024-03-30,Email,B,2715,236,31,2.71,1795.57,0.08692449355432781,0.13135593220338984,0.09,662.57
2024-02-28,Facebook,A,7494,106,5,49.9,279.99,0.014144649052575394,0.04716981132075472,9.98,5.61
2024-01-30,Facebook,B,7378,151,7,43.69,396.99,0.020466251016535646,0.046357615894039736,6.24,9.09
2024-03-15,Instagram,A,8148,123,3,42.96,137.78,0.015095729013254787,0.024390243902439025,14.32,3.21
2024-03-05,Facebook,B,8542,240,9,56.29,426.93,0.028096464528213533,0.0375,6.25,7.58
2024-03-18,TikTok,A,9560,187,6,39.36,276.37,0.019560669456066944,0.03208556149732621,6.56,7.02
2024-02-17,Instagram,B,8773,155,6,45.38,336.56,0.0176678445229682,0.03870967741935484,7.56,7.42
2024-02-12,Facebook,B,8742,182,9,57.16,375.89,0.02081903454587051,0.04945054945054945,6.35,6.58
2024-01-16,Instagram,A,6950,116,4,39.69,221.56,0.01669064748201439,0.034482758620689655,9.92,5.58
2024-01-05,Google Search,A,5586,254,21,63,1366.42,0.04547081990691013,0.08267716535433071,3,21.69
2024-03-28,Facebook,A,8541,158,6,56.64,358.68,0.018499004800374662,0.0379746835443038,9.44,6.33
2024-03-22,Instagram,B,9358,168,8,56,468.02,0.017952553964522333,0.047619047619047616,7,8.36
2024-01-25,Email,A,2271,243,29,2.24,1839.11,0.10700132100396301,0.11934156378600823,0.08,821.03
2024-02-09,TikTok,B,8622,275,8,35.98,451.1,0.03189515193690559,0.02909090909090909,4.5,12.54
2024-01-16,Instagram,B,9261,182,7,49.44,324.92,0.019652305366591082,0.038461538461538464,7.06,6.57
2024-02-29,Instagram,B,9184,201,8,47.74,301.95,0.02188588850174216,0.03980099502487562,5.97,6.32
2024-01-02,Google Search,A,5788,283,28,69.76,1685.68,0.04889426399447132,0.0989399293286219,2.49,24.16
2024-02-19,Google Search,B,4972,168,17,62.33,1007.04,0.03378921962992759,0.10119047619047619,3.67,16.16
2024-02-10,Instagram,A,7837,116,4,44.43,201.93,0.014801582238101314,0.034482758620689655,11.11,4.54
2024-02-02,Facebook,B,9547,254,13,50.79,666.36,0.026605216298313607,0.051181102362204724,3.91,13.12
2024-02-07,Google Search,A,5164,275,23,64.33,1597.24,0.05325329202168862,0.08363636363636363,2.8,24.83
2024-03-21,Facebook,B,7349,170,7,48.57,292.72,0.023132398965845694,0.041176470588235294,6.94,6.03
2024-03-09,Email,A,3246,219,27,3.3,1381.68,0.06746765249537892,0.1232876712328767,0.12,418.69
2024-01-19,TikTok,A,8007,167,3,30.63,191.71,0.02085675034344948,0.017964071856287425,10.21,6.26
2024-01-27,Email,A,3226,205,22,3.15,763.83,0.06354618722876627,0.1073170731707317,0.14,242.49
2024-01-29,Google Search,A,4977,220,18,61.3,1125.64,0.044203335342575846,0.08181818181818182,3.41,18.36
2024-03-05,Email,A,2939,274,24,3.07,1311.13,0.09322898945219463,0.08759124087591241,0.13,427.08
2024-03-12,Email,B,2728,254,27,2.43,1436.47,0.09310850439882698,0.1062992125984252,0.09,591.14
2024-01-20,TikTok,B,8735,318,6,36.77,309.21,0.036405266170578134,0.018867924528301886,6.13,8.41
2024-02-11,Instagram,B,8584,184,8,47.67,320.66,0.021435228331780055,0.043478260869565216,5.96,6.73
2024-01-21,Facebook,B,8419,193,10,54.97,477.99,0.022924337807340538,0.05181347150259067,5.5,8.7
2024-01-26,Google Search,B,4792,176,12,58.48,689.88,0.03672787979966611,0.06818181818181818,4.87,11.8
2024-02-07,TikTok,A,8848,200,6,36,264.83,0.022603978300180832,0.03,6,7.36
2024-08-02,Instagram,A,7798,100,3,39.05,132.43,0.012823800974608874,0.03,13.02,3.39
2024-03-05,Facebook,A,6348,104,6,43.91,378.9,0.01638311279143037,0.057692307692307696,7.32,8.63
2024-06-03,Instagram,A,7497,67,2,39.36,99.22,0.008936908096571963,0.029850746268656716,19.68,2.52
2024-03-16,Google Search,B,4788,177,15,54.9,927.98,0.03696741854636591,0.0847457627118644,3.66,16.9
2024-02-17,Google Search,B,5446,177,18,63.39,756.21,0.032500918105031217,0.1016949152542373,3.52,11.93
2024-03-20,Email,A,3315,304,35,3.13,2094.64,0.09170437405731523,0.11513157894736842,0.09,669.21
2024-02-09,TikTok,A,9751,264,5,36.53,287.25,0.027074146241411138,0.01893939393939394,7.31,7.86
2024-08-02,Google Search,B,5707,224,15,67.77,714.11,0.03925004380585246,0.06696428571428571,4.52,10.54
2024-03-02,Instagram,B,10365,182,8,58.8,412.97,0.017559093101784853,0.04395604395604396,7.35,7.02
2024-02-14,Instagram,A,9842,166,5,56.1,237.57,0.016866490550701076,0.030120481927710843,11.22,4.23
2024-02-12,TikTok,B,8655,210,9,37.78,540.87,0.024263431542461005,0.04285714285714286,4.2,14.32
2024-01-26,Instagram,B,9038,158,6,49.64,361.62,0.01748174374861695,0.0379746835443038,8.27,7.28
2024-02-16,TikTok,B,10469,320,14,44.62,592.27,0.03056643423440634,0.04375,3.19,13.27
2024-02-14,Email,B,3487,308,44,3.41,2809.37,0.08832807570977919,0.14285714285714285,0.08,823.86
2024-03-11,Google Search,A,4943,219,22,58.79,1396.39,0.04430507788792232,0.1004566210045662,2.67,23.75
2024-02-04,TikTok,A,8282,128,4,34.63,232.55,0.015455204056991065,0.03125,8.66,6.72
2024-01-15,Google Search,B,4837,178,16,56.14,652.03,0.03679966921645648,0.0898876404494382,3.51,11.61
2024-03-01,TikTok,B,9209,326,11,38.33,765.69,0.03540015202519275,0.03374233128834356,3.48,19.98
2024-03-14,Facebook,A,7446,128,5,47.8,231.44,0.017190437818963202,0.0390625,9.56,4.84
2024-01-27,Instagram,B,8902,175,7,47.27,363.91,0.019658503707032128,0.04,6.75,7.7
2024-02-21,Facebook,A,9206,183,8,57.47,436.3,0.019878340212904626,0.04371584699453552,7.18,7.59
2024-02-05,Facebook,B,7230,156,7,50.17,360.18,0.021576763485477178,0.04487179487179487,7.17,7.18
2024-03-17,TikTok,A,10715,192,5,42.65,237.91,0.017918805412972468,0.026041666666666668,8.53,5.58
2024-01-18,TikTok,A,8720,158,5,35.01,326.3,0.018119266055045873,0.03164556962025317,7,9.32
2024-01-08,Instagram,A,8592,126,5,46.79,263.83,0.014664804469273743,0.03968253968253968,9.36,5.64
2024-03-02,Google Search,B,4578,176,15,49.85,830.9,0.03844473569244211,0.08522727272727272,3.32,16.67
2024-01-16,Facebook,A,6714,132,7,43.14,399.53,0.01966041108132261,0.05303030303030303,6.16,9.26
2024-03-05,TikTok,A,10489,187,5,39.63,244.34,0.017828200972447326,0.026737967914438502,7.93,6.17
2024-03-19,TikTok,B,10157,323,13,39.94,622.71,0.03180072856158314,0.04024767801857585,3.07,15.59
2024-03-28,Instagram,A,7844,105,4,44.52,204.11,0.013386027536970933,0.0380952380952381,11.13,4.58
2024-02-26,Google Search,A,4334,197,19,49.47,1203.15,0.045454545454545456,0.09644670050761421,2.6,24.32
2024-03-29,Instagram,A,9123,150,4,50.23,194.98,0.01644195988161789,0.02666666666666667,12.56,3.88
2024-03-05,Google Search,B,5061,203,14,57.24,833.3,0.040110650069156296,0.06896551724137931,4.09,14.56
2024-02-02,Instagram,B,10606,222,8,65.14,453.73,0.020931548180275317,0.036036036036036036,8.14,6.97
2024-02-20,Instagram,B,8985,204,8,48.71,324.36,0.022704507512520868,0.0392156862745098,6.09,6.66
2024-03-05,Instagram,B,9570,236,9,51.51,437.64,0.02466039707419018,0.038135593220338986,5.72,8.5
2024-01-12,TikTok,A,8198,150,4,32.47,150.55,0.018297145645279338,0.02666666666666667,8.12,4.64
2024-05-03,Google Search,A,5418,249,27,59.45,1160.93,0.04595791805094131,0.10843373493975904,2.2,19.53
2024-02-25,Facebook,A,8805,148,6,53.05,398.04,0.01680863145939807,0.04054054054054054,8.84,7.5
2024-02-29,Email,B,2854,210,23,2.83,1191.88,0.07358093903293624,0.10952380952380952,0.12,421.16
2024-01-13,TikTok,B,6111,189,7,23.89,410.89,0.030927835051546393,0.037037037037037035,3.41,17.2
2024-01-29,Instagram,A,8885,128,3,51.06,222.81,0.014406302757456387,0.0234375,17.02,4.36
2024-01-11,Facebook,B,8732,197,10,53.57,522.17,0.022560696289509848,0.050761421319796954,5.36,9.75
2024-03-21,TikTok,B,9642,257,9,35.83,510.88,0.026654221115951046,0.03501945525291829,3.98,14.26
2024-01-13,Email,A,2513,181,20,2.42,617.13,0.07202546756864306,0.11049723756906077,0.12,255.01
2024-02-05,Google Search,B,5607,253,23,67.46,1030.6,0.045122168717674334,0.09090909090909091,2.93,15.28
2024-01-17,TikTok,B,8135,362,14,30.91,851.04,0.044499078057775046,0.03867403314917127,2.21,27.53
2024-03-07,Facebook,B,7193,196,12,44.64,627.47,0.027248714027526762,0.061224489795918366,3.72,14.06
2024-03-25,TikTok,A,9299,176,5,34.3,255.44,0.018926766318959027,0.028409090909090908,6.86,7.45
2024-01-25,Email,B,3518,208,23,3.51,1559.04,0.059124502558271744,0.11057692307692307,0.15,444.17
2024-03-21,Google Search,B,5189,177,16,65.19,882.48,0.03411061861630372,0.0903954802259887,4.07,13.54
2024-01-26,Email,B,2527,214,28,2.38,1810.79,0.08468539770478829,0.1308411214953271,0.08,760.84
2024-01-17,Facebook,B,8580,258,13,57.63,645.44,0.03006993006993007,0.050387596899224806,4.43,11.2
2024-03-27,TikTok,A,12038,211,6,46.03,402.12,0.017527828542947335,0.02843601895734597,7.67,8.74
2024-03-06,TikTok,A,9394,170,4,40.79,232.1,0.018096657440919737,0.023529411764705882,10.2,5.69
2024-03-30,TikTok,A,11168,257,8,49.06,437.32,0.0230121776504298,0.0311284046692607,6.13,8.91
2024-02-11,Facebook,B,8766,243,10,59.43,599.22,0.027720739219712527,0.0411522633744856,5.94,10.08
2024-02-22,TikTok,B,9310,285,13,36.79,810.7,0.030612244897959183,0.0456140350877193,2.83,22.04
2024-01-16,Email,A,3127,231,28,3.02,1026.37,0.0738727214582667,0.12121212121212122,0.11,339.86
2024-03-12,Instagram,B,7512,193,7,38.26,293.57,0.025692225772097975,0.03626943005181347,5.47,7.67
2024-02-25,Email,B,2374,217,29,2.23,1592.48,0.09140690817186184,0.1336405529953917,0.08,714.12
2024-02-10,Facebook,A,8200,112,5,53.06,226.06,0.013658536585365854,0.044642857142857144,10.61,4.26
2024-01-10,TikTok,A,9621,131,3,37.45,167.91,0.013616048227834944,0.022900763358778626,12.48,4.48
2024-02-03,Facebook,A,8064,197,11,54.81,677.7,0.024429563492063492,0.05583756345177665,4.98,12.36
2024-03-01,Facebook,B,7366,197,10,46.52,563.62,0.0267445017648656,0.050761421319796954,4.65,12.12
2024-02-12,TikTok,A,8582,169,5,36.94,365.45,0.019692379398741553,0.029585798816568046,7.39,9.89
2024-01-10,Google Search,B,4798,162,9,53.35,582.19,0.033764068361817424,0.05555555555555555,5.93,10.91
2024-02-11,Google Search,A,4600,225,20,53.49,962.47,0.04891304347826087,0.08888888888888889,2.67,17.99
2024-02-26,Facebook,A,7320,176,8,48.38,410.54,0.024043715846994537,0.045454545454545456,6.05,8.49
2024-01-03,Facebook,B,8836,216,9,56.02,431.09,0.02444545043005885,0.041666666666666664,6.22,7.7
2024-02-18,Email,A,2969,252,28,3.045,1576.83,0.08487706298416975,0.1111111111111111,0.11,517.84
2024-01-04,Google Search,B,4863,188,20,59.22,892.96,0.038659263828912195,0.10638297872340426,2.96,15.08
2024-01-06,TikTok,B,6956,211,10,28.2,419.95,0.030333525014376077,0.04739336492890995,2.82,14.89
2024-02-21,Google Search,B,4390,147,15,58.04,774.19,0.03348519362186788,0.10204081632653061,3.87,13.34
2024-03-02,TikTok,B,9318,282,12,34.79,592.69,0.030264005151320026,0.0425531914893617,2.9,17.04
2024-03-23,Google Search,A,5385,226,16,59.43,705.92,0.04196843082636954,0.07079646017699115,3.71,11.88
2024-01-15,Email,B,2665,214,20,2.58,1055.91,0.0803001876172608,0.09345794392523364,0.13,409.27
2024-02-29,Email,A,2935,295,29,3.19,1573.65,0.10051107325383304,0.09830508474576272,0.11,493.31
2024-03-14,Email,A,2931,225,24,2.95,1285.08,0.0767656090071648,0.10666666666666667,0.12,435.62
2024-02-20,Google Search,A,4954,209,24,60.48,1325.78,0.0421881308033912,0.11483253588516747,2.52,21.92
2024-01-29,Facebook,A,8702,142,7,53.48,434.96,0.016318087795908987,0.04929577464788732,7.64,8.13
2024-03-19,TikTok,A,11578,237,5,44.43,236.19,0.020469856624632923,0.02109704641350211,8.89,5.32
2024-03-16,Instagram,A,9620,156,5,54.85,278.38,0.016216216216216217,0.03205128205128205,10.97,5.08
2024-02-16,Facebook,A,8606,162,8,51.8,400.75,0.018824076225888914,0.04938271604938271,6.47,7.74
2024-02-26,TikTok,A,9877,243,5,36.19,229.62,0.024602612129189023,0.0205761316872428,7.24,6.34
2024-03-08,Google Search,B,5025,216,20,58.62,1046.06,0.04298507462686567,0.09259259259259259,2.93,17.84
2024-02-03,Instagram,A,9442,124,4,52.67,255.27,0.013132810845159923,0.03225806451612903,13.17,4.85
2024-02-17,Email,A,2821,301,30,3.02,1715.09,0.10669975186104218,0.09966777408637874,0.1,567.91
2024-03-03,Facebook,B,5637,127,5,35.13,259.84,0.02252971438708533,0.03937007874015748,7.03,7.4
2024-03-04,TikTok,B,10313,231,6,42.98,344.28,0.02239891399204887,0.025974025974025976,7.16,8.01
2024-02-01,TikTok,A,7248,143,3,29.96,229.74,0.019729580573951435,0.02097902097902098,9.99,7.67
2024-03-13,Facebook,B,7790,228,11,51.76,515.94,0.02926829268292683,0.04824561403508772,4.71,9.97
2024-02-20,Instagram,A,9530,127,4,53.38,182.37,0.013326337880377754,0.031496062992125984,13.35,3.42
2024-03-27,Instagram,A,10486,153,5,61,271.6,0.014590883082204844,0.032679738562091505,12.2,4.45
2024-03-09,Facebook,A,7915,162,8,53.53,474.87,0.020467466835123183,0.04938271604938271,6.69,8.87
2024-02-16,Email,A,2746,235,25,3,1516.44,0.08557902403495994,0.10638297872340426,0.12,505.48
2024-01-07,Facebook,A,7996,142,6,53.91,328.97,0.01775887943971986,0.04225352112676056,8.98,6.1
2024-01-19,Facebook,A,8754,163,9,57.89,385.36,0.018620059401416495,0.05521472392638037,6.43,6.66
2024-03-11,Instagram,B,8205,207,10,45.37,618.42,0.02522851919561243,0.04830917874396135,4.54,13.63
2024-03-14,Instagram,B,10153,210,8,55.74,457.61,0.020683541810302374,0.0380952380952381,6.97,8.21
2024-01-13,Facebook,B,8338,207,12,50.79,604.95,0.02482609738546414,0.057971014492753624,4.23,11.91
2024-01-18,Instagram,A,9379,140,4,48.23,186.93,0.014926964495148737,0.02857142857142857,12.06,3.88
2024-01-03,Email,A,2873,212,23,2.86,1176.5,0.07379046293073442,0.10849056603773585,0.12,411.36
2024-03-27,Google Search,A,4927,192,24,58.2,1524.73,0.03896894662066166,0.125,2.43,26.2
2024-03-08,Instagram,B,8621,190,7,43.63,431.47,0.022039206588562812,0.03684210526315789,6.23,9.89
2024-01-30,Google Search,B,4853,141,11,51.56,693.22,0.029054193282505667,0.07801418439716312,4.69,13.44
2024-01-12,Email,A,3448,298,46,3.63,2370.42,0.08642691415313225,0.15436241610738255,0.08,653.01
2024-01-16,Google Search,B,5087,207,15,57.38,817.81,0.04069195989777865,0.07246376811594203,3.83,14.25
2024-01-18,Facebook,A,7174,133,6,44.53,320.8,0.018539169222191246,0.045112781954887216,7.42,7.2
2024-01-13,Google Search,A,5494,323,26,65.17,1028.95,0.058791408809610486,0.0804953560371517,2.51,15.79
2024-01-11,Google Search,B,5068,202,18,64.58,1221.44,0.039857932123125495,0.0891089108910891,3.59,18.91
2024-02-03,TikTok,B,8503,247,12,36,566.18,0.02904857109255557,0.048582995951417005,3,15.73
2024-02-23,Google Search,A,4883,134,14,56.92,835.31,0.02744214622158509,0.1044776119402985,4.07,14.68
2024-03-13,TikTok,A,10407,158,4,42.67,185.26,0.015182088978572116,0.02531645569620253,10.67,4.34
2024-03-30,TikTok,B,11940,390,18,48.69,903.75,0.032663316582914576,0.046153846153846156,2.7,18.56
2024-02-07,TikTok,B,8389,256,11,36.77,705.56,0.03051615210394564,0.04296875,3.34,19.19
2024-02-27,Email,A,3012,189,19,3.34,956.61,0.06274900398406374,0.10052910052910052,0.18,286.41
2024-02-27,Facebook,A,6631,125,6,44.87,277.48,0.018850852058513046,0.048,7.48,6.18
2024-01-04,Facebook,A,7967,140,6,52.18,339.84,0.017572486506840717,0.04285714285714286,8.7,6.51
2024-03-22,Instagram,A,7175,96,2,39.1,85.59,0.01337979094076655,0.020833333333333332,19.55,2.19
2024-01-03,Facebook,A,8961,161,6,59.9,325.87,0.01796674478294833,0.037267080745341616,9.98,5.44
2024-02-08,TikTok,B,8963,329,14,34.59,626,0.03670645989066161,0.0425531914893617,2.47,18.1
2024-02-18,Google Search,B,4734,189,19,52.67,1097.79,0.039923954372623575,0.10052910052910052,2.77,20.84
2024-01-26,Instagram,A,7950,101,2,41.94,108.2,0.01270440251572327,0.019801980198019802,20.97,2.58
2024-03-11,TikTok,B,10707,286,13,41.85,504.66,0.02671149715139628,0.045454545454545456,3.22,12.06
2024-03-06,Google Search,B,4857,163,14,58.01,607.3,0.0335598105826642,0.08588957055214724,4.14,10.47
2024-03-04,TikTok,A,11376,217,6,36.615,285.22,0.019075246132208158,0.027649769585253458,6.1,7.79
2024-01-09,Instagram,A,8479,112,4,46.54,250.42,0.013209104847269726,0.03571428571428571,11.63,5.38
2024-03-24,Google Search,A,5388,199,18,63.07,791.06,0.03693392724573125,0.09045226130653267,3.5,12.54
2024-02-24,Instagram,A,8253,116,4,45.14,263.06,0.014055494971525506,0.034482758620689655,11.29,5.83
2024-02-25,Google Search,A,5768,250,20,69.95,856.89,0.04334257975034674,0.08,3.5,12.25
2024-03-06,Facebook,B,7725,198,12,50.79,898.17,0.025631067961165047,0.06060606060606061,4.23,17.68
2024-10-02,Email,B,2780,289,39,2.95,1969.4,0.1039568345323741,0.13494809688581316,0.08,667.59
2024-02-20,Google Search,B,5200,173,18,53.57,971.4,0.033269230769230766,0.10404624277456648,2.98,18.13
2024-03-19,Email,A,2632,227,33,2.49,1471.56,0.08624620060790274,0.14537444933920704,0.08,590.99
2024-02-19,Facebook,B,7921,186,11,48.88,650.73,0.023481883600555486,0.05913978494623656,4.44,13.31
2024-02-11,Email,A,3222,317,32,2.85,1731.04,0.0983860955927995,0.10094637223974763,0.09,607.38
2024-01-31,TikTok,B,6629,157,7,26.33,238.64,0.023683813546537938,0.044585987261146494,3.76,9.06
2024-01-03,Instagram,A,8400,95,3,49.53,155.07,0.01130952380952381,0.031578947368421054,16.51,3.13
2024-03-08,TikTok,A,11365,205,4,49.46,206.52,0.01803783545974483,0.01951219512195122,12.37,4.18
2024-02-09,Facebook,B,7666,195,11,53.35,593.36,0.025436994521262718,0.05641025641025641,4.85,11.12
2024-02-25,Email,A,3090,218,16,3.17,768.51,0.07055016181229773,0.07339449541284404,0.2,242.43
2024-03-24,Instagram,A,8104,168,3,46.5,163.13,0.02073050345508391,0.017857142857142856,15.5,3.51
2024-02-25,Google Search,B,5342,213,19,60.87,935.55,0.03987270685136653,0.0892018779342723,3.2,15.37
2024-03-02,Facebook,B,8166,206,10,51.45,443.64,0.025226549106049472,0.04854368932038835,5.15,8.62
2024-01-28,Email,A,2694,211,25,2.56,1182.98,0.07832219747587231,0.11848341232227488,0.1,462.1
2024-02-09,Facebook,A,8305,161,8,49.14,403.08,0.01938591210114389,0.049689440993788817,6.14,8.2
2024-03-09,TikTok,A,10785,248,6,44.89,335.2,0.0229949003245248,0.024193548387096774,7.48,7.47
2024-02-28,Email,A,3031,171,18,2.83,1035.51,0.056417024084460574,0.10526315789473684,0.16,365.9
2024-03-05,TikTok,B,11844,392,16,46.08,926.69,0.03309692671394799,0.04081632653061224,2.88,20.11
2024-03-23,Email,B,3208,273,33,3.07,1820.47,0.0850997506234414,0.12087912087912088,0.09,592.99
2024-02-06,Google Search,B,4663,231,17,57.85,1062.71,0.049538923439845596,0.0735930735930736,3.4,18.37
2024-02-09,Instagram,A,9723,143,5,54.73,259.26,0.01470739483698447,0.03496503496503497,10.95,4.74
2024-01-14,Email,A,2818,262,26,3.045,1263.41,0.09297374024130589,0.09923664122137404,0.12,414.91
2024-03-13,Google Search,B,4662,163,16,51.75,926.02,0.034963534963534965,0.09815950920245399,3.23,17.89
2024-02-29,TikTok,B,8393,299,14,30.65,677.51,0.03562492553318242,0.046822742474916385,2.19,22.1
2024-02-14,Instagram,B,7663,162,8,39.82,469.49,0.021140545478272217,0.04938271604938271,4.98,11.79
2024-03-21,Email,A,3085,179,23,2.93,1030.7,0.0580226904376013,0.12849162011173185,0.13,351.77
2024-01-12,Instagram,A,9675,111,3,54.29,159.04,0.011472868217054264,0.02702702702702703,18.1,2.93
2024-03-27,Email,A,3240,292,37,3.26,1921.49,0.09012345679012346,0.1267123287671233,0.09,589.41
2024-03-28,Email,A,3303,293,29,3.11,1827.96,0.08870723584620042,0.09897610921501707,0.11,587.77
2024-03-02,Email,A,3622,272,33,3.85,1809.81,0.07509663169519602,0.1213235294117647,0.12,470.08
2024-01-08,Instagram,B,10069,204,7,54.78,446.4,0.02026020458834045,0.03431372549019608,7.83,8.15
2024-03-25,Google Search,A,5269,219,21,62.53,966.95,0.04156386411083697,0.0958904109589041,2.98,15.46
2024-02-02,Instagram,A,9480,153,5,54.28,336.71,0.016139240506329113,0.032679738562091505,10.86,6.2
2024-01-17,Instagram,B,8722,157,7,45.27,316.25,0.018000458610410455,0.044585987261146494,6.47,6.99
2024-03-10,Facebook,A,7344,161,7,48.28,382.8,0.021922657952069716,0.043478260869565216,6.9,7.93
2024-01-28,Instagram,A,9428,127,4,54.43,233.09,0.01347051336444633,0.031496062992125984,13.61,4.28
2024-01-31,Email,B,2645,180,19,2.66,1195.27,0.06805293005671077,0.10555555555555556,0.14,449.35
2024-02-04,Instagram,B,9870,233,8,53.27,377.53,0.023606889564336372,0.034334763948497854,6.66,7.09
2024-01-18,TikTok,B,7396,268,9,31.66,691.36,0.03623580313683072,0.033582089552238806,3.52,21.84
2024-02-07,Instagram,B,10265,152,7,61.55,335.81,0.01480759863614223,0.046052631578947366,8.79,5.46
2024-02-05,TikTok,A,9576,177,5,35.98,275.01,0.018483709273182956,0.02824858757062147,7.2,7.64
2024-03-09,Email,B,2626,240,22,2.95,1051.92,0.0913937547600914,0.09166666666666666,0.13,356.58
2024-03-09,TikTok,B,9249,263,7,38.7,421.39,0.028435506541247702,0.026615969581749048,5.53,10.89
2024-03-01,TikTok,A,10626,262,6,47.5,259.28,0.024656502917372484,0.022900763358778626,7.92,5.46
2024-12-01,Instagram,B,9271,136,6,47.27,337.7,0.014669399201812103,0.04411764705882353,7.88,7.14
2024-02-14,Facebook,B,7943,143,5,49.23,286.71,0.01800327332242226,0.03496503496503497,9.85,5.82
2024-02-27,Facebook,B,9104,223,15,50.79,876.62,0.024494727592267136,0.06726457399103139,3.39,17.26
