"date","channel","variant","impressions","clicks","conversions","spend","revenue"
"2024-01-29","Google Search","A",4977,220,18,61.3,1125.64
"2024-03-05","Email","A",2939,274,24,3.07,1311.13
"2024-03-12","Email","B",2728,254,27,2.43,1436.47
"2024-01-20","TikTok","B",8735,318,6,36.77,309.21
"2024-02-11","Instagram","B",8584,184,8,47.67,320.66
"2024-01-21","Facebook","B",8419,193,10,54.97,477.99
"2024-01-26","Google Search","B",4792,176,12,58.48,689.88
"2024-02-07","Tik Tok","A",8848,200,6,36,264.83
"08-02-2024","Instagram","A",7798,100,3,39.05,132.43
"2024-03-05","Facebook","A",6348,104,6,43.91,378.9
"06-03-2024","Instagram","A",7497,67,2,39.36,99.22
"2024-03-16","Google Search","B",4788,177,15,54.9,927.98
"2024-02-17","Google Search","B",5446,177,18,63.39,756.21
"2024-03-20","Email","A",3315,304,35,3.13,2094.64
"2024-02-09","TikTok","A",9751,264,5,36.53,287.25
"08-02-2024","Google Search","B",5707,224,15,67.77,714.11
"2024-03-02","instagram","B",10365,182,8,58.8,412.97
"2024-02-14","Instagram","A",9842,166,5,56.1,237.57
"2024-02-12","TikTok","B",8655,210,9,37.78,540.87
"2024-01-26","Instagram","B",9038,158,6,49.64,361.62
"2024-02-16","TikTok","B",10469,320,14,44.62,592.27
"02/14/2024","Email","B",3487,308,44,3.41,2809.37
"2024-03-11","Google Search","A",4943,219,22,58.79,1396.39
"2024-02-04","TikTok","A",8282,128,4,34.63,232.55
"2024-01-15","Google Search","B",4837,178,16,56.14,652.03
"2024-03-01","TikTok","B",9209,326,11,38.33,765.69
"2024-03-14","Facebook","A",7446,128,5,47.8,231.44
"27-01-2024","Instagram","B",8902,175,7,47.27,363.91
"2024-02-21","Facebook","A",9206,183,8,57.47,436.3
"2024-02-05","Facebook","B",7230,156,7,50.17,360.18
"2024-03-17","TikTok","A",10715,192,5,42.65,237.91
"2024-01-18","tiktok","A",8720,158,5,35.01,326.3
"01/08/2024","Instagram","A",8592,126,5,46.79,263.83
"2024-03-02","Google Search","B",4578,176,15,49.85,830.9
"2024-01-16","facebook","A",6714,132,7,43.14,399.53
"2024-03-05","TikTok","A",10489,187,5,39.63,244.34
"2024-03-19","TikTok","B",10157,323,13,39.94,622.71
"2024-03-28","Instagram","A",7844,105,4,44.52,204.11
"2024-02-26","Google Search","A",4334,197,19,49.47,1203.15
"2024-03-29","Instagram","A",9123,150,4,50.23,194.98
"2024-03-05","Google Search","B",5061,203,14,57.24,833.3
"2024-02-02","Instagram","B",10606,222,8,65.14,453.73
"2024-02-20","Instagram","B",8985,204,8,48.71,324.36
"2024-03-05","Instagram","B",9570,236,9,51.51,437.64
"2024-01-12","TikTok","A",8198,150,4,32.47,150.55
"05-03-2024","Google Search","A",5418,249,27,59.45,1160.93
"2024-02-25","Facebook","A",8805,148,6,53.05,398.04
"02/29/2024","Email","B",2854,210,23,2.83,1191.88
"13-01-2024","TikTok","B",6111,189,7,23.89,410.89
"29-01-2024","instagram","A",8885,128,3,51.06,222.81
"01/11/2024","FB","B",8732,197,10,53.57,522.17
"2024-03-21","tiktok","B",9642,257,9,35.83,510.88
"2024-01-13","email","A",2513,181,20,2.42,617.13
"2024-02-05","Google Search","B",5607,253,23,67.46,1030.6
"2024-01-17","TikTok","B",8135,362,14,30.91,851.04
"2024-03-07","Facebook","B",7193,196,12,44.64,627.47
"2024-03-25","TikTok","A",9299,176,5,34.3,255.44
"2024-01-25","Email","B",3518,208,23,3.51,1559.04
"03/21/2024","Google Search","B",5189,177,16,65.19,882.48
"26-01-2024","email","B",2527,214,28,2.38,1810.79
"2024-01-17","Facebook","B",8580,258,13,57.63,645.44
"2024-03-27","TikTok","A",12038,211,6,46.03,402.12
"2024-03-06","TikTok","A",9394,170,4,40.79,232.1
"2024-03-30","TikTok","A",11168,257,8,49.06,437.32
"2024-02-11","Facebook","B",8766,243,10,59.43,599.22
"2024-02-22","TikTok","B",9310,285,13,36.79,810.7
"2024-01-16","Email","A",3127,231,28,3.02,1026.37
"2024-03-12","IG","B",7512,193,7,38.26,293.57
"2024-02-25","Email","B",2374,217,29,2.23,1592.48
"2024-02-10","Facebook","A",8200,112,5,53.06,226.06
"2024-01-10","TikTok","A",9621,131,3,37.45,167.91
"2024-02-03","Facebook","A",8064,197,11,54.81,677.7
"2024-03-01","FB","B",7366,197,10,46.52,563.62
"2024-02-12","TikTok","A",8582,169,5,36.94,365.45
"2024-01-10","Google","B",4798,162,9,53.35,582.19
"2024-02-11","Google Search","A",4600,225,20,53.49,962.47
"2024-02-26","Facebook","A",7320,176,8,48.38,410.54
"2024-01-03","Facebook","B",8836,216,9,56.02,431.09
"2024-02-18","Email","A",2969,252,28,NA,1576.83
"2024-01-04","Google Search","B",4863,188,20,59.22,892.96
"2024-01-06","TikTok","B",6956,211,10,28.2,419.95
"2024-02-21","Google Search","B",4390,147,15,58.04,774.19
"03/02/2024","TikTok","B",9318,282,12,34.79,592.69
"2024-03-23","Google Search","A",5385,226,16,59.43,705.92
"01/15/2024","Email","B",2665,214,20,2.58,1055.91
"2024-02-29","email","A",2935,295,29,3.19,1573.65
"2024-03-14","Email","A",2931,225,24,2.95,1285.08
"2024-02-20","Google Search","A",4954,209,24,60.48,1325.78
"2024-01-29","Facebook","A",8702,142,7,53.48,434.96
"2024-03-19","tiktok","A",11578,237,5,44.43,236.19
"03/16/2024","Instagram","A",9620,156,5,54.85,278.38
"2024-02-16","Facebook","A",8606,162,8,NA,400.75
"2024-02-26","TikTok","A",9877,243,5,36.19,229.62
"2024-03-08","Google Search","B",5025,216,20,58.62,1046.06
"2024-02-03","Instagram","A",9442,124,4,52.67,255.27
"2024-02-17","Email","A",2821,301,30,3.02,1715.09
"2024-03-03","Facebook","B",5637,127,5,35.13,259.84
"2024-03-04","TikTok","B",10313,231,6,42.98,344.28
"2024-02-01","TikTok","A",7248,143,3,29.96,229.74
"03/13/2024","Facebook","B",7790,228,11,51.76,515.94
"20-02-2024","instagram","A",9530,127,4,53.38,182.37
"2024-03-27","Instagram","A",10486,153,5,61,271.6
"2024-03-09","Facebook","A",7915,162,8,53.53,474.87
"2024-02-16","email","A",2746,235,25,3,1516.44
"2024-01-07","FB","A",7996,142,6,53.91,328.97
"2024-01-19","FB","A",8754,163,9,57.89,385.36
"2024-03-11","IG","B",8205,207,10,45.37,618.42
"2024-03-14","Instagram","B",10153,210,8,55.74,457.61
"13-01-2024","facebook","B",8338,207,12,NA,604.95
"2024-01-18","Instagram","A",9379,140,4,48.23,186.93
"2024-01-03","Email","A",2873,212,23,2.86,1176.5
"2024-03-27","Google Search","A",4927,192,24,58.2,1524.73
"2024-03-08","Instagram","B",8621,190,7,43.63,431.47
"2024-01-30","Google Search","B",4853,141,11,51.56,693.22
"2024-01-12","Email","A",3448,298,46,3.63,2370.42
"2024-01-16","Google Search","B",5087,207,15,57.38,817.81
"2024-01-18","Facebook","A",7174,133,6,44.53,320.8
"2024-01-13","Google Search","A",5494,323,26,65.17,1028.95
"2024-01-11","Google Search","B",5068,202,18,64.58,1221.44
"2024-02-03","TikTok","B",8503,247,12,36,566.18
"2024-02-23","Google Search","A",4883,134,14,56.92,835.31
"13-03-2024","TikTok","A",10407,158,4,42.67,185.26
"2024-03-30","TikTok","B",11940,390,18,48.69,903.75
"2024-02-07","tiktok","B",8389,256,11,NA,705.56
"02/27/2024","Email","A",3012,189,19,3.34,956.61
"2024-02-27","Facebook","A",6631,125,6,44.87,277.48
"2024-01-04","Facebook","A",7967,140,6,52.18,339.84
"2024-03-22","Instagram","A",7175,96,2,39.1,85.59
"2024-01-03","Facebook","A",8961,161,6,59.9,325.87
"2024-02-08","TikTok","B",8963,329,14,34.59,626
"2024-02-18","google search","B",4734,189,19,52.67,1097.79
"2024-01-26","Instagram","A",7950,101,2,41.94,108.2
"2024-03-11","TikTok","B",10707,286,13,41.85,504.66
"2024-03-06","Google Search","B",4857,163,14,58.01,607.3
"2024-03-04","TikTok","A",11376,217,6,NA,285.22
"2024-01-09","Instagram","A",8479,112,4,46.54,250.42
"2024-03-24","Google","A",5388,199,18,63.07,791.06
"2024-02-24","Instagram","A",8253,116,4,45.14,263.06
"2024-01-04","Facebook","A",7967,140,6,52.18,339.84
"2024-02-25","Google Search","A",5768,250,20,69.95,856.89
"2024-03-06","Facebook","B",7725,198,12,NA,898.17
"10-02-2024","Email","B",2780,289,39,2.95,1969.4
"02/20/2024","Google","B",5200,173,18,53.57,971.4
"2024-03-19","Email","A",2632,227,33,2.49,1471.56
"2024-02-19","Facebook","B",7921,186,11,48.88,650.73
"2024-02-11","Email","A",3222,317,32,2.85,1731.04
"2024-01-31","TikTok","B",6629,157,7,26.33,238.64
"2024-01-03","instagram","A",8400,95,3,49.53,155.07
"03/08/2024","Tik Tok","A",11365,205,4,49.46,206.52
"2024-02-09","Facebook","B",7666,195,11,53.35,593.36
"2024-02-25","EMAIL","A",3090,218,16,3.17,768.51
"2024-03-24","Instagram","A",8104,168,3,46.5,163.13
"2024-02-25","Google Search","B",5342,213,19,60.87,935.55
"2024-03-02","Facebook","B",8166,206,10,51.45,443.64
"2024-01-28","Email","A",2694,211,25,2.56,1182.98
"2024-02-09","Facebook","A",8305,161,8,49.14,403.08
"03/09/2024","Tik Tok","A",10785,248,6,44.89,335.2
"2024-02-28","Email","A",3031,171,18,2.83,1035.51
"2024-03-05","Tik Tok","B",11844,392,16,46.08,926.69
"2024-03-23","Email","B",3208,273,33,3.07,1820.47
"2024-02-06","Google Search","B",4663,231,17,57.85,1062.71
"2024-02-09","Instagram","A",9723,143,5,54.73,259.26
"14-01-2024","EMAIL","A",2818,262,26,NA,1263.41
"2024-03-13","Google Search","B",4662,163,16,51.75,926.02
"2024-02-29","Tik Tok","B",8393,299,14,30.65,677.51
"14-02-2024","Instagram","B",7663,162,8,39.82,469.49
"2024-03-21","Email","A",3085,179,23,2.93,1030.7
"2024-01-12","Instagram","A",9675,111,3,54.29,159.04
"2024-03-27","Email","A",3240,292,37,3.26,1921.49
"2024-03-28","Email","A",3303,293,29,3.11,1827.96
"2024-03-02","email","A",3622,272,33,3.85,1809.81
"2024-01-08","Instagram","B",10069,204,7,54.78,446.4
"2024-03-25","Google Search","A",5269,219,21,62.53,966.95
"2024-02-02","Instagram","A",9480,153,5,54.28,336.71
"2024-01-17","instagram","B",8722,157,7,45.27,316.25
"2024-03-10","Facebook","A",7344,161,7,48.28,382.8
"2024-01-28","Instagram","A",9428,127,4,54.43,233.09
"2024-01-31","Email","B",2645,180,19,2.66,1195.27
"2024-02-04","Instagram","B",9870,233,8,53.27,377.53
"2024-01-18","TikTok","B",7396,268,9,31.66,691.36
"2024-02-07","instagram","B",10265,152,7,61.55,335.81
"2024-02-05","TikTok","A",9576,177,5,35.98,275.01
"2024-03-09","Email","B",2626,240,22,NA,1051.92
"2024-03-09","Tik Tok","B",9249,263,7,38.7,421.39
"2024-03-01","TikTok","A",10626,262,6,47.5,259.28
"12-01-2024","Instagram","B",9271,136,6,47.27,337.7
"2024-02-14","Facebook","B",7943,143,5,49.23,286.71
"2024-02-27","Facebook","B",9104,223,15,NA,876.62
"19-02-2024","Email","B",2559,217,24,2.39,1453.95
"2024-03-01","google search","B",4426,169,13,55.62,785.51
"2024-01-24","Facebook","A",7827,155,7,52.58,409.72
"2024-03-26","Email","A",2713,185,23,2.73,897.44
"2024-01-19","IG","A",10961,192,6,60.83,270.59
"02/14/2024","Google Search","A",4999,200,22,53.99,1203.66
"2024-02-24","Email","A",3236,285,32,3.12,2010.1
"03-03-2024","Instagram","B",8639,180,5,46.23,270.7
"2024-01-10","Instagram","A",9094,116,4,51.92,200.32
"31-01-2024","TikTok","A",9259,213,3,38.28,139.33
"2024-01-14","IG","A",10173,188,6,59.31,263.93
"2024-03-11","TikTok","A",9865,204,5,38.93,247.2
"2024-03-22","Email","A",2581,216,27,2.64,1346.08
"2024-03-10","Email","B",3156,310,36,3.26,2083.41
"2024-02-23","Email","A",2702,177,24,2.75,1762.78
"2024-01-05","Instagram","B",7964,168,6,42.95,428.4
"2024-03-24","Tik Tok","B",10581,448,20,41.35,1310.25
"2024-02-29","TikTok","A",10340,190,5,45.21,269.47
"2024-01-24","Facebook","B",8850,181,9,53.08,548.74
"2024-01-31","Instagram","B",9306,204,7,53.34,376
"2024-01-11","Google","A",4999,184,18,58.94,1066.63
"2024-01-10","Tik Tok","B",6830,183,8,28.09,439.28
"2024-02-22","Instagram","A",9497,140,4,53.22,268.36
"2024-03-29","Facebook","A",8761,181,7,49.79,391.02
"2024-03-10","Email","A",2745,247,34,2.78,1501.22
"2024-03-12","Facebook","B",9037,231,15,58.67,533.64
"2024-01-27","Google Search","A",5545,269,18,62.79,768.19
"2024-01-12","Tik Tok","B",6326,181,8,25.3,505.73
"2024-02-25","Instagram","A",8545,114,3,45.74,120.88
"2024-01-06","Google Search","B",5095,150,14,63.08,1017.75
"2024-01-25","Facebook","B",8029,219,12,52.21,530.8
"2024-03-27","facebook","B",6352,149,10,44.94,507.77
"2024-03-02","Facebook","A",7934,145,7,52.16,351.61
"2024-03-18","Facebook","B",7251,183,10,46.59,591.49
"2024-01-11","TikTok","A",6555,161,4,28.01,222.61
"02/18/2024","TikTok","A",8804,169,5,36.44,238.17
"2024-03-17","Facebook","A",7994,161,4,53,231.09
"2024-01-11","Tik Tok","B",8091,241,7,30.59,462.06
"2024-03-12","TikTok","B",10632,255,8,44.02,399.85
"2024-01-08","TikTok","B",6172,195,10,25.54,624.48
"2024-03-20","Instagram","A",9305,138,4,NA,209.29
"28-01-2024","Instagram","B",9516,173,6,50.5,306.19
"2024-03-03","Email","B",3065,273,29,3.23,1687.8
"2024-02-05","TikTok","B",8142,266,10,33.54,482.5
"2024-02-22","Facebook","B",8458,220,14,49.61,796.39
"2024-01-01","Tik Tok","B",6956,250,9,27.87,542.21
"2024-02-11","Instagram","A",11102,97,3,54.26,166.52
"2024-03-22","Facebook","B",9345,169,7,60.17,460.79
"2024-01-21","Google Search","B",5188,189,21,NA,713.86
"2024-03-25","Google Search","B",4108,168,14,46.85,686.52
"2024-01-04","Google Search","A",5584,256,17,68.24,969.36
"2024-02-17","Facebook","B",7908,188,9,53.41,438
"01/27/2024","TikTok","B",6862,189,9,26.62,464.29
"2024-01-23","Instagram","B",9374,163,6,49.51,241.59
"2024-01-06","Google Search","B",5095,150,14,63.08,1017.75
"2024-02-05","Instagram","A",8200,162,5,43.21,305.81
"2024-03-24","Email","A",2674,250,25,2.62,1357.56
"2024-01-06","Email","B",3014,249,22,2.89,1361.81
"2024-01-24","Google Search","A",5310,231,21,62.84,1287.66
"2024-02-23","FB","A",7637,140,7,49.52,398.93
"2024-01-20","Facebook","B",9436,232,9,60.13,451.56
"2024-02-16","Instagram","A",8022,110,3,44.14,107
"2024-01-25","Google Search","A",5162,234,20,63.57,1099.1
"2024-02-10","tiktok","A",8174,173,5,34.81,261.72
"2024-03-12","Email","A",2828,223,28,2.93,1178.66
"2024-02-29","Google Search","A",4846,173,17,58.52,862.61
"2024-03-13","Facebook","A",7853,161,166,52.36,374.33
"16-03-2024","TikTok","A",11424,215,4,45.59,257.67
"2024-03-20","Instagram","B",8482,173,7,44.93,334.19
"2024-01-25","Instagram","A",9789,146,3,53.53,151.87
"2024-03-14","Email","B",3408,321,25,3.37,1548.47
"2024-02-26","email","A",3171,217,22,3.21,1283.99
"2024-02-20","Email","B",3240,265,25,3.36,1110.12
"2024-01-14","Email","B",2912,255,31,2.91,1161.19
"20-03-2024","TikTok","B",11865,401,20,47.46,1034.71
"2024-03-10","Google Search","A",5317,194,19,60.61,1125.44
"2024-02-04","TikTok","B",8471,258,9,33.33,434.07
"2024-02-27","Google Search","B",6038,213,14,73.26,821.41
"2024-01-06","Instagram","A",10168,151,4,56.05,216.04
"30-01-2024","Google Search","A",5705,245,20,66.97,1240.96
"20-02-2024","Email","A",3126,237,37,3.2,2662.61
"2024-01-08","FB","A",8579,135,8,62.52,460.49
"2024-03-06","TikTok","B",13218,460,21,52.28,1427.8
"17-02-2024","tiktok","B",9084,274,9,36.92,537.75
"01/25/2024","Facebook","A",7403,111,5,44.49,303.64
"2024-02-06","Instagram","B",8866,226,8,44.31,448.89
"2024-01-29","Instagram","B",9987,244,9,56.27,308.21
"02/13/2024","Instagram","A",9803,149,5,53.16,306.59
"2024-03-14","Facebook","B",9131,266,11,57.74,632.61
"2024-02-25","tiktok","A",10925,242,5,41.5,299.37
"2024-03-15","Google Search","B",5016,158,12,59.94,734.98
"2024-02-10","Google Search","A",4138,186,14,47.72,724.13
"2024-03-24","Facebook","B",8644,186,9,50.92,571.07
"2024-01-20","TikTok","A",8912,156,4,37.28,176.26
"03/06/2024","facebook","A",7445,144,7,51.32,396.78
"2024-01-28","Email","B",2981,234,27,2.88,1653.08
"2024-03-09","Google Search","A",4546,148,11,54.21,551.93
"2024-02-01","Email","A",3152,250,29,2.98,1371.9
"2024-03-26","Instagram","A",8740,119,4,49.12,229.66
"2024-01-28","Facebook","B",7883,233,12,51.15,646.07
"12-01-2024","FB","A",6751,132,5,44,274.49
"2024-01-07","TikTok","B",7256,252,10,28.26,658.27
"2024-03-04","Email","A",2881,217,23,2.77,1245.94
"2024-02-26","Facebook","B",8092,259,16,52.33,725.49
"2024-03-10","Google Search","B",5049,181,12,58.89,642.19
"2024-02-04","Instagram","A",9076,150,4,47.74,224.77
"2024-01-23","Email","B",2743,208,25,2.8,1193.63
"15-03-2024","FB","B",7292,150,7,46.82,494.96
"2024-03-18","Google Search","A",5239,211,13,61.32,753.23
"01/09/2024","Facebook","B",7305,167,7,46.23,403.73
"2024-03-25","Email","A",2896,265,34,2.73,1791.54
"2024-01-19","Facebook","B",7801,192,9,53.02,414.86
"2024-01-17","Instagram","A",7771,78,2,38.44,110.8
"2024-03-15","TikTok","B",10870,269,12,46.05,658.36
"2024-01-05","Facebook","B",8267,259,13,56.28,818.8
"2024-01-07","Instagram","B",8948,176,6,49.03,343.22
"2024-02-26","Instagram","A",6754,104,3,34.66,164.52
"2024-02-08","TikTok","A",8247,168,4,33.08,265.42
"2024-02-24","Google Search","A",4930,135,12,60.47,667.02
"2024-01-31","google search","B",5416,240,20,69.35,942.21
"2024-01-20","Email","A",3251,327,43,3.28,2025.62
"2024-01-03","TikTok","B",7177,220,9,28.63,418.94
"2024-01-27","Instagram","A",8878,133,4,46.49,247.51
"2024-03-23","Facebook","A",7066,112,5,48.18,219.31
"2024-02-03","Facebook","B",6752,200,7,41.17,403.14
"2024-01-27","TikTok","A",8274,196,4,NA,246.11
"02/06/2024","Email","B",3347,230,30,3.31,1570.17
"06-01-2024","Instagram","B",8070,197,9,45.16,460.63
"2024-01-16","Google Search","A",4830,209,18,54.39,1124.07
"2024-01-02","Email","A",3204,269,36,3.17,1654.06
"2024-03-13","Google Search","A",4737,182,13,56.51,633.61
"2024-01-24","Email","A",3572,203,26,3.48,1247.7
"2024-03-19","Instagram","B",8239,176,6,47.43,311.91
"2024-01-09","TikTok","B",5966,220,223,25.58,534.32
"2024-01-24","TikTok","A",6896,126,3,27.14,173.11
"2024-02-27","Instagram","A",8816,110,3,47.8,150.69
"27-02-2024","Instagram","B",8504,255,9,48.43,491.75
"2024-02-28","Google Search","B",4523,125,6,52.82,274.61
"2024-03-22","TikTok","A",11365,243,5,47.09,324.18
"2024-03-03","Facebook","B",5637,127,5,35.13,259.84
"2024-03-30","Instagram","A",11690,186,6,59.15,322.48
"25-02-2024","TikTok","B",8544,258,12,34.53,647.23
"2024-02-29","Google Search","B",5611,160,16,63.52,1134.18
"2024-02-15","Google Search","B",4487,156,14,50.54,737.82
"2024-01-11","Facebook","A",8823,185,10,52.18,531.73
"2024-01-31","Facebook","A",7519,140,6,47.62,270.03
"2024-01-05","Facebook","A",6399,94,4,41.03,196.67
"2024-03-20","Facebook","A",7451,115,6,45.06,319.82
"2024-02-25","Instagram","B",8888,142,7,50.09,428.93
"2024-01-12","Google Search","B",5439,221,13,61.14,701.87
"2024-02-27","TikTok","B",9362,197,6,38.86,319.3
"2024-02-13","Instagram","B",9783,200,7,46.2,389.81
"10-01-2024","Facebook","B",7799,246,10,45.81,540.79
"2024-02-01","Instagram","A",7482,119,3,39.53,181.37
"2024-02-21","Email","A",3716,187,23,3.66,1275.73
"2024-01-06","Tik Tok","A",6498,77,2,23.25,111.56
"2024-03-20","Google Search","B",5307,178,14,64.7,782.75
"2024-02-24","TikTok","A",10053,198,203,43.36,227.03
"2024-02-07","Facebook","B",8202,210,213,53.44,687.91
"2024-03-28","Google Search","B",5424,174,17,64.92,972.58
"2024-03-18","TikTok","B",11607,339,13,45.07,666.93
"01/08/2024","facebook","B",7334,147,8,45.1,420.68
"2024-03-25","Instagram","B",9431,226,9,55.4,537.5
"2024-01-09","Tik Tok","A",8462,153,4,31.85,211.09
"2024-02-02","TikTok","B",10080,335,14,43.62,764.33
"2024-01-24","Instagram","A",11370,179,5,59.62,283.02
"2024-01-14","Facebook","A",8676,142,7,56.4,335.85
"2024-01-28","Google Search","B",4754,163,14,NA,769.81
"2024-01-21","instagram","A",8104,133,4,43.39,241.41
"2024-01-11","Email","A",2691,160,16,2.68,977.68
"2024-01-23","Facebook","B",7197,191,12,46.55,762.08
"2024-03-23","Instagram","A",9679,110,3,NA,144.59
"02-03-2024","Instagram","A",8580,161,5,NA,291.48
"2024-01-13","TikTok","A",7173,151,4,27.38,228.04
"02/19/2024","EMAIL","A",3161,274,275,3.22,1539.98
"2024-03-25","TikTok","B",9912,289,13,39.63,789.15
"03-03-2024","Facebook","A",9103,173,6,55.62,372.24
"2024-01-02","TikTok","A",4938,112,2,20.67,111.28
"2024-01-05","TikTok","A",6723,130,3,27.22,181.89
"2024-03-29","tiktok","B",10916,217,9,43.49,572.93
"2024-03-03","Google Search","A",5478,206,17,62.71,876.35
"2024-01-07","Facebook","B",8608,183,10,54.76,603.64
"02/28/2024","TikTok","B",9920,305,16,38.8,858.7
"25-03-2024","Facebook","B",7987,139,8,49.43,511.11
"2024-03-16","Email","A",2342,230,38,2.56,1796.6
"02/10/2024","EMAIL","A",2954,284,43,2.78,2031.13
"2024-01-05","Email","A",2788,219,28,2.98,1767.78
"2024-01-02","Instagram","A",9081,121,3,46.96,138.34
"2024-01-02","Google Search","B",5321,264,19,63.47,1256.45
"02/12/2024","Instagram","B",8482,160,6,46.4,378.75
"2024-02-28","Instagram","A",9226,150,5,52.74,243.43
"2024-01-02","Tik Tok","B",7247,241,8,30.18,481.81
"2024-01-22","instagram","B",9502,190,8,50.04,463.88
"2024-02-05","Google Search","A",5006,233,14,66.61,653.48
"2024-03-21","Instagram","B",8101,185,9,44.31,531.79
"2024-03-29","instagram","B",8582,176,5,48.62,330.7
"03/26/2024","facebook","A",8279,202,10,50.66,729.5
"2024-01-23","Email","A",2968,266,29,3.09,1482.58
"07-02-2024","Email","A",2625,245,27,2.38,1377.96
"2024-02-08","Email","B",2986,194,23,2.92,1181.72
"2024-01-04","Email","B",2760,251,30,2.84,1790.76
"2024-01-10","Email","B",3214,304,32,2.96,1455.53
"2024-02-14","TikTok","A",9524,145,4,38.4,167.72
"01/15/2024","Instagram","A",8092,135,4,43.67,147.9
"13-01-2024","Google Search","B",5418,227,20,68.83,1206.3
"2024-02-21","Email","B",2999,184,20,2.79,1139.26
"2024-01-21","TikTok","A",7260,147,3,27.13,145.51
"2024-03-14","Instagram","A",9744,156,4,52.8,273.47
"2024-01-17","Facebook","A",8551,128,4,55.55,243.16
"2024-02-07","Instagram","A",10622,142,4,56.57,207.7
"2024-02-24","Facebook","B",7652,165,9,48.45,462.57
"2024-03-02","TikTok","A",10197,215,6,43.2,283.32
